series,run,step,train_loss,train_token_accuracy,learning_rate
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1050,0.7711,0.8070914000272751,1.0945683375919722e-06
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1100,0.7953,0.8032291084527969,8.799743125986529e-07
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1150,0.8032,0.8007195293903351,6.842434201904255e-07
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1200,0.7897,0.8044848293066025,5.096546969302313e-07
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1250,0.7805,0.8040081709623337,3.5824100579075703e-07
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1300,0.7562,0.8096711933612823,2.3176536605828443e-07
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1350,0.8136,0.8001777082681656,1.3170042522205607e-07
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1400,0.7566,0.8101358562707901,5.921131187280382e-08
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1450,0.751,0.8115555495023727,1.5142069266580462e-08
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1500,0.7443,0.8118558973073959,5.827517723377973e-12
Stage1 full,qwen3_32b_stage1_full,50,1.0859,0.7470673352479935,2.041666666666667e-06
Stage1 full,qwen3_32b_stage1_full,100,1.019,0.7592071771621705,4.125e-06
Stage1 full,qwen3_32b_stage1_full,150,0.9839,0.7653729408979416,4.9993108363719166e-06
Stage1 full,qwen3_32b_stage1_full,200,0.9845,0.7665354698896408,4.994887275330613e-06
Stage1 full,qwen3_32b_stage1_full,250,0.9427,0.7709818005561828,4.986375177471089e-06
Stage1 full,qwen3_32b_stage1_full,300,0.947,0.7736228585243226,4.973788492131192e-06
Stage1 full,qwen3_32b_stage1_full,350,0.9213,0.7768460243940354,4.957147845944817e-06
Stage1 full,qwen3_32b_stage1_full,400,0.9258,0.7770261824131012,4.9364805090396695e-06
Stage1 full,qwen3_32b_stage1_full,450,0.9187,0.7770818680524826,4.911820350347908e-06
Stage1 full,qwen3_32b_stage1_full,500,0.9419,0.7754483133554458,4.883207782102884e-06
Stage1 full,qwen3_32b_stage1_full,550,0.9282,0.776464307308197,4.850689693612939e-06
Stage1 full,qwen3_32b_stage1_full,600,0.9134,0.7787211179733277,4.8143193744207975e-06
Stage1 full,qwen3_32b_stage1_full,650,0.9216,0.7771379619836807,4.774156426974464e-06
Stage1 full,qwen3_32b_stage1_full,700,0.8438,0.791673281788826,4.7302666689527546e-06
Stage1 full,qwen3_32b_stage1_full,750,0.8051,0.7988160222768783,4.682722025405502e-06
Stage1 full,qwen3_32b_stage1_full,800,0.8355,0.7942921578884125,4.631600410885231e-06
Stage1 full,qwen3_32b_stage1_full,850,0.8114,0.7988887369632721,4.576985601763418e-06
Stage1 full,qwen3_32b_stage1_full,900,0.8374,0.7953750520944596,4.518967098940617e-06
Stage1 full,qwen3_32b_stage1_full,950,0.8413,0.7932472676038742,4.4576399811754014e-06
Stage1 full,qwen3_32b_stage1_full,1000,0.8365,0.7924676358699798,4.393104749272526e-06
