series,run,step,train_loss,train_token_accuracy,learning_rate
Stage1 full,qwen3_32b_stage1_full,50,1.0859,0.7470673352479935,2.041666666666667e-06
Stage1 full,qwen3_32b_stage1_full,100,1.019,0.7592071771621705,4.125e-06
Stage1 full,qwen3_32b_stage1_full,150,0.9839,0.7653729408979416,4.9993108363719166e-06
Stage1 full,qwen3_32b_stage1_full,200,0.9845,0.7665354698896408,4.994887275330613e-06
Stage1 full,qwen3_32b_stage1_full,250,0.9427,0.7709818005561828,4.986375177471089e-06
Stage1 full,qwen3_32b_stage1_full,300,0.947,0.7736228585243226,4.973788492131192e-06
Stage1 full,qwen3_32b_stage1_full,350,0.9213,0.7768460243940354,4.957147845944817e-06
Stage1 full,qwen3_32b_stage1_full,400,0.9258,0.7770261824131012,4.9364805090396695e-06
Stage1 full,qwen3_32b_stage1_full,450,0.9187,0.7770818680524826,4.911820350347908e-06
Stage1 full,qwen3_32b_stage1_full,500,0.9419,0.7754483133554458,4.883207782102884e-06
Stage1 full,qwen3_32b_stage1_full,550,0.9282,0.776464307308197,4.850689693612939e-06
Stage1 full,qwen3_32b_stage1_full,600,0.9134,0.7787211179733277,4.8143193744207975e-06
Stage1 full,qwen3_32b_stage1_full,650,0.9216,0.7771379619836807,4.774156426974464e-06
Stage1 full,qwen3_32b_stage1_full,700,0.8438,0.791673281788826,4.7302666689527546e-06
Stage1 full,qwen3_32b_stage1_full,750,0.8051,0.7988160222768783,4.682722025405502e-06
Stage1 full,qwen3_32b_stage1_full,800,0.8355,0.7942921578884125,4.631600410885231e-06
Stage1 full,qwen3_32b_stage1_full,850,0.8114,0.7988887369632721,4.576985601763418e-06
Stage1 full,qwen3_32b_stage1_full,900,0.8374,0.7953750520944596,4.518967098940617e-06
Stage1 full,qwen3_32b_stage1_full,950,0.8413,0.7932472676038742,4.4576399811754014e-06
Stage1 full,qwen3_32b_stage1_full,1000,0.8365,0.7924676358699798,4.393104749272526e-06
